epoch,lr-AdamW/non-decayable,lr-AdamW/normal,n_learnable_parameters,n_parameters,scale/many-body/C,step,test/test/energy_mae,test/test/energy_rmse,test/test/forces_mae,test/test/forces_rmse,test/test/forces_rmse_batchwise,test/test/per_atom_energy_mae,test/test/per_atom_energy_rmse,test/train/energy_mae,test/train/energy_rmse,test/train/forces_mae,test/train/forces_rmse,test/train/forces_rmse_batchwise,test/train/per_atom_energy_mae,test/train/per_atom_energy_rmse,test/valid/energy_mae,test/valid/energy_rmse,test/valid/forces_mae,test/valid/forces_rmse,test/valid/forces_rmse_batchwise,test/valid/per_atom_energy_mae,test/valid/per_atom_energy_rmse,timer/its_per_s/train,timer/its_per_s/valid,timer/step_duration_ms/train,timer/step_duration_ms/valid,train/loss/forces_rmse_batchwise_weighted,train/loss/per_atom_energy_rmse_batchwise_weighted,train/loss/total,train/metrics/forces_rmse_batchwise,train/metrics/per_atom_energy_rmse_batchwise,valid/loss/forces_rmse_batchwise_weighted,valid/loss/per_atom_energy_rmse_batchwise_weighted,valid/loss/total,valid/metrics/energy_mae,valid/metrics/energy_rmse,valid/metrics/forces_mae,valid/metrics/forces_rmse,valid/metrics/forces_rmse_batchwise,valid/metrics/per_atom_energy_mae,valid/metrics/per_atom_energy_rmse,valid/metrics/per_atom_energy_rmse_batchwise
,,,4233,4234,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,2.391688346862793,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0.01,0.01,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,2.4188032150268555,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,,,27,,,,,,,,,,,,,,,,,,,,,,,53.8628044128418,,19.5,,,,,,0.8739358186721802,0.6390604376792908,1.5129961967468262,124.00166320800781,127.85662841796875,0.690010130405426,0.874029815196991,0.8739358186721802,0.6200089454650879,0.6392840147018433,0.6390604376792908
,0.01,0.01,,,,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,,,49,,,,,,,,,,,,,,,,,,,,,,32.25806427001953,,31.0,,0.7865931987762451,0.1142624244093895,0.9008556008338928,0.7865931987762451,0.1142624244093895,,,,,,,,,,,
,,,,,2.4162416458129883,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,,,55,,,,,,,,,,,,,,,,,,,,,,,54.9450569152832,,19.0,,,,,,0.7687582969665527,0.24038785696029663,1.0091462135314941,42.66706466674805,48.08259963989258,0.5997102856636047,0.7688472867012024,0.7687582969665527,0.21333681046962738,0.24041444063186646,0.24038785696029663
,0.01,0.01,,,,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
