epoch,lr-AdamW/non-decayable,lr-AdamW/normal,n_learnable_parameters,n_parameters,scale/many-body/C,step,test/test/energy_mae,test/test/energy_rmse,test/test/forces_mae,test/test/forces_rmse,test/test/forces_rmse_batchwise,test/test/per_atom_energy_mae,test/test/per_atom_energy_rmse,test/train/energy_mae,test/train/energy_rmse,test/train/forces_mae,test/train/forces_rmse,test/train/forces_rmse_batchwise,test/train/per_atom_energy_mae,test/train/per_atom_energy_rmse,test/valid/energy_mae,test/valid/energy_rmse,test/valid/forces_mae,test/valid/forces_rmse,test/valid/forces_rmse_batchwise,test/valid/per_atom_energy_mae,test/valid/per_atom_energy_rmse,timer/its_per_s/train,timer/its_per_s/valid,timer/step_duration_ms/train,timer/step_duration_ms/valid,train/loss/forces_rmse_batchwise_weighted,train/loss/per_atom_energy_rmse_batchwise_weighted,train/loss/total,train/metrics/forces_rmse_batchwise,train/metrics/per_atom_energy_rmse_batchwise,valid/loss/forces_rmse_batchwise_weighted,valid/loss/per_atom_energy_rmse_batchwise_weighted,valid/loss/total,valid/metrics/energy_mae,valid/metrics/energy_rmse,valid/metrics/forces_mae,valid/metrics/forces_rmse,valid/metrics/forces_rmse_batchwise,valid/metrics/per_atom_energy_mae,valid/metrics/per_atom_energy_rmse,valid/metrics/per_atom_energy_rmse_batchwise
,,,11487,11488,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,2.391688346862793,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0.01,0.01,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,2.441227436065674,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,,,13,,,,,,,,,,,,,,,,,,,,,,,76.19047546386719,,13.25,,,,,,0.9855663180351257,0.5008268356323242,1.4863930940628052,77.5724105834961,100.5037841796875,0.7606960535049438,0.986529529094696,0.9855663180351257,0.38786202669143677,0.5025186538696289,0.5008268356323242
,0.01,0.01,,,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,2.4469797611236572,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,,,27,,,,,,,,,,,,,,,,,,,,,,,76.19047546386719,,13.25,,,,,,0.778234601020813,0.63628089427948,1.414515495300293,124.83293914794922,127.52871704101562,0.6087000966072083,0.7784075736999512,0.778234601020813,0.6241644620895386,0.6376434564590454,0.63628089427948
,0.01,0.01,,,,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,2.4522006511688232,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
