epoch,lr-AdamW/non-decayable,lr-AdamW/normal,n_learnable_parameters,n_parameters,scale/many-body/C,step,test/test/energy_mae,test/test/energy_rmse,test/test/forces_mae,test/test/forces_rmse,test/test/forces_rmse_batchwise,test/test/per_atom_energy_mae,test/test/per_atom_energy_rmse,test/train/energy_mae,test/train/energy_rmse,test/train/forces_mae,test/train/forces_rmse,test/train/forces_rmse_batchwise,test/train/per_atom_energy_mae,test/train/per_atom_energy_rmse,test/valid/energy_mae,test/valid/energy_rmse,test/valid/forces_mae,test/valid/forces_rmse,test/valid/forces_rmse_batchwise,test/valid/per_atom_energy_mae,test/valid/per_atom_energy_rmse,timer/its_per_s/train,timer/its_per_s/valid,timer/step_duration_ms/train,timer/step_duration_ms/valid,train/loss/forces_rmse_batchwise_weighted,train/loss/per_atom_energy_rmse_batchwise_weighted,train/loss/total,train/metrics/forces_rmse_batchwise,train/metrics/per_atom_energy_rmse_batchwise,valid/loss/forces_rmse_batchwise_weighted,valid/loss/per_atom_energy_rmse_batchwise_weighted,valid/loss/total,valid/metrics/energy_mae,valid/metrics/energy_rmse,valid/metrics/forces_mae,valid/metrics/forces_rmse,valid/metrics/forces_rmse_batchwise,valid/metrics/per_atom_energy_mae,valid/metrics/per_atom_energy_rmse,valid/metrics/per_atom_energy_rmse_batchwise
,,,4194,4195,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,2.391688346862793,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0.01,0.01,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,2.4341249465942383,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,,,13,,,,,,,,,,,,,,,,,,,,,,,129.46429443359375,,7.75,,,,,,0.9856563806533813,1.3313791751861572,2.317035436630249,253.6826171875,267.1883239746094,0.7780560851097107,0.9859802722930908,0.9856563806533813,1.2684136629104614,1.3359419107437134,1.3313791751861572
,0.01,0.01,,,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,2.4522628784179688,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,,,27,,,,,,,,,,,,,,,,,,,,,,,133.92857360839844,,7.5,,,,,,0.8963777422904968,0.6298640370368958,1.5262417793273926,120.43475341796875,126.66173553466797,0.708285391330719,0.8965216279029846,0.8963777422904968,0.6021736860275269,0.633308470249176,0.6298640370368958
,0.01,0.01,,,,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,2.4564857482910156,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,,,41,,,,,,,,,,,,,,,,,,,,,,,133.92857360839844,,7.5,,,,,,0.8695773482322693,0.4931333661079407,1.36271071434021,91.53660583496094,99.27275085449219,0.6866684556007385,0.8697196245193481,0.8695773482322693,0.45768314599990845,0.49636363983154297,0.4931333661079407
,0.01,0.01,,,,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,,,,49,,,,,,,,,,,,,,,,,,,,,,76.92308044433594,,13.0,,0.8176478147506714,0.3280189633369446,1.1456668376922607,0.8176478147506714,0.3280189633369446,,,,,,,,,,,
,,,,,2.4599626064300537,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,,,,55,,,,,,,,,,,,,,,,,,,,,,,138.39285278320312,,7.25,,,,,,0.7937324643135071,0.23601119220256805,1.0297436714172363,39.89358901977539,48.22874450683594,0.6232126951217651,0.7938131093978882,0.7937324643135071,0.19946825504302979,0.2411441057920456,0.23601119220256805
,0.01,0.01,,,,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,2.464115619659424,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,,,,,69,,,,,,,,,,,,,,,,,,,,,,,121.52777862548828,,8.25,,,,,,0.7668048143386841,0.22838246822357178,0.9951872825622559,40.98271179199219,46.21670913696289,0.5986414551734924,0.766930878162384,0.7668048143386841,0.20491564273834229,0.2310854196548462,0.22838246822357178
,0.01,0.01,,,,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,2.465757369995117,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,,,,,83,,,,,,,,,,,,,,,,,,,,,,,21.972171783447266,,51.25,,,,,,0.7274519205093384,0.14705593883991241,0.8745078444480896,25.350839614868164,29.748991012573242,0.5587383508682251,0.7279115915298462,0.7274519205093384,0.12675391137599945,0.14874424040317535,0.14705593883991241
,0.01,0.01,,,,84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,2.4653985500335693,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,,,,,97,,,,,,,,,,,,,,,,,,,,,,,21.88481903076172,,51.5,,,,,,0.7166314125061035,0.3903474807739258,1.1069788932800293,76.31669616699219,78.20360565185547,0.5500074028968811,0.7170904874801636,0.7166314125061035,0.38158389925956726,0.3910185694694519,0.3903474807739258
,0.01,0.01,,,,98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,,,,,99,,,,,,,,,,,,,,,,,,,,,,21.7391300201416,,46.0,,0.6812744140625,0.08150917291641235,0.7627835869789124,0.6812744140625,0.08150917291641235,,,,,,,,,,,
,,,,,2.469900131225586,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,,,,,111,,,,,,,,,,,,,,,,,,,,,,,20.9632568359375,,51.75,,,,,,0.7292174100875854,0.5284460186958313,1.2576634883880615,98.36650085449219,105.90799713134766,0.5682389140129089,0.7293527126312256,0.7292174100875854,0.49183231592178345,0.5295395255088806,0.5284460186958313
,0.01,0.01,,,,112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,2.4685065746307373,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,,,,,125,,,,,,,,,,,,,,,,,,,,,,,21.972171783447266,,51.25,,,,,,0.7472391724586487,0.31342512369155884,1.0606642961502075,59.63270568847656,62.9858512878418,0.5844541192054749,0.747312068939209,0.7472391724586487,0.29816296696662903,0.31492879986763,0.31342512369155884
,0.01,0.01,,,,126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,2.4703774452209473,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
